OrderID,OrderDate,Region,SalesRep,Product,Category,Quantity,UnitPrice,UnitCost,Discount,CustomerSegment
1063,2025-04-09,S,Aya Hassan,LAPTOP PRO 15,Hardware,2,"$ 1,299",820,0.12,Consumer
1095,10-Jun-2025,N ,Sam Okafor,Wireles Mouse,Accessories,3,39,33,2%,Consumer
1012,"January 22, 2025",Western ,  Priya Shah,Wireles Mouse,Accessories,30,$ 39,33,34%,Enterprise
1029,"February 21, 2025",east ,DANA LOPEZ,Security Lic,Software, 1 ,$ 99,8,9,Consumer
1028,2025-02-01,Souh,  AYA HASSAN,Laptop Air 13,Hardware,1,USD 999,640,11,Consumer
1066,"May 11, 2025",south ,TOM REILLY,USB C Cable,Accessories,2,$ 19,17,22%,smb
1064,05/17/25,West,  Priya Shah,USB C Cable,Accessories,18,$ 19,17,32,Enterprise
1045,03/22/25,south ,Tom Reilly,usb-c cable,Accessories, 2 ,USD 19,17,14%,Consumer 
1055,04/26/25,Western ,Marcus Bell,Laptop Sleeve,Accessories,1,$29.00,26,0.34,Consumer
1067,05/11/2025,east ,Dana Lopez,Wireless Mouse,Accessories, 17 ,$39.00,33,23,Enterprise
1062,04/22/25, West,  Marcus Bell,Wireles Mouse,Accessories,7,$39.00,33,0.4,SMB
1003,2025-01-18,W,Marcus Bell,Office Suite Lic,Software,3,149,15,0.39,Consumer
1054,04/27/2025,E,Dana Lopez,Laptop Air 13,Hardware,12,$ 999,640,0.21,Enterprise
1078,"May 18, 2025",EAST,Wei Chen,Webcam HD,Accessories,24,59.00,50,0.2,Enterprise
1023,2025-02-12,south ,  Tom Reilly,Security Lic,Software, 5 ,$99.00,8,0.13,SMB
1001,01/04/2025,east ,Dana Lopez,wireless mouse,Accessories, 1 ,39,33,0.09,Consumer
1103,06/06/25,E,Wei Chen,USB-C Cable,Accessories,2,19.00,17,17,Consumer
1004,25-Jan-2025,E,Wei Chen,Security Lic,Software,8,99.00,8,20%,SMB
1030,"March 09, 2025",Western ,Marcus Bell,Laptop Pro15,Hardware,2,"1,299.00",820,40,SMB
1090,"June 14, 2025",east ,Wei Chen,Laptop Sleeve,Accessories,8,29,26,21%,SMB
1068,05/13/25,East,Wei Chen,Office Suite Lic,Software,1,149.00,15,12,Consumer
